,ANIO,MES,DIA,TMAX
7192,1975,12,14,35.5
7193,1975,12,15,39.8
7194,1975,12,16,38.6
7195,1975,12,17,39.5
7196,1975,12,18,43.1
7197,1975,12,19,28.6
7198,1975,12,20,32.8
7199,1975,12,21,37.2
7200,1975,12,22,31.5
7201,1975,12,23,34.4
7202,1975,12,24,38.7
7203,1975,12,25,37.0
7204,1975,12,26,33.4
7205,1975,12,27,27.2
7206,1975,12,28,31.3
7207,1975,12,29,35.8
7208,1975,12,30,38.9
7209,1975,12,31,38.9
7545,1976,12,1,28.0
7546,1976,12,2,25.7
7547,1976,12,3,29.3
7548,1976,12,4,26.4
7549,1976,12,5,29.8
7550,1976,12,6,32.7
7551,1976,12,7,28.1
7552,1976,12,8,26.6
7553,1976,12,9,27.8
7554,1976,12,10,32.2
7555,1976,12,11,32.2
7556,1976,12,12,37.7
7557,1976,12,13,34.5
7558,1976,12,14,29.9
7559,1976,12,15,24.6
7560,1976,12,16,25.9
7561,1976,12,17,27.6
7562,1976,12,18,30.0
7563,1976,12,19,26.2
7564,1976,12,20,27.8
7565,1976,12,21,27.3
7566,1976,12,22,25.8
7567,1976,12,23,29.4
7568,1976,12,24,32.5
7569,1976,12,25,32.6
7570,1976,12,26,24.4
7571,1976,12,27,26.2
7572,1976,12,28,26.5
7573,1976,12,29,30.2
7574,1976,12,30,34.8
7575,1976,12,31,29.9
7910,1977,12,1,37.8
7911,1977,12,2,36.3
7912,1977,12,3,37.4
7913,1977,12,4,40.6
7914,1977,12,5,28.1
7915,1977,12,6,29.6
7916,1977,12,7,27.8
7917,1977,12,8,31.4
7918,1977,12,9,35.3
7919,1977,12,10,35.7
7920,1977,12,11,37.3
7921,1977,12,12,29.7
7922,1977,12,13,31.7
7923,1977,12,14,31.7
7924,1977,12,15,28.0
7925,1977,12,16,28.6
7926,1977,12,17,28.4
7927,1977,12,18,24.8
7928,1977,12,19,21.0
7929,1977,12,20,16.0
7930,1977,12,21,19.0
7931,1977,12,22,23.9
7932,1977,12,23,26.5
7933,1977,12,24,31.2
7934,1977,12,25,31.9
7935,1977,12,26,29.1
7936,1977,12,27,34.6
7937,1977,12,28,26.7
7938,1977,12,29,25.5
7939,1977,12,30,23.4
7940,1977,12,31,19.7
8275,1978,12,1,30.4
8276,1978,12,2,27.5
8277,1978,12,3,23.4
8278,1978,12,4,20.0
8279,1978,12,5,27.5
8280,1978,12,6,30.8
8281,1978,12,7,32.9
8282,1978,12,8,26.8
8283,1978,12,9,28.5
8284,1978,12,10,30.0
8285,1978,12,11,29.6
8286,1978,12,12,33.0
8287,1978,12,13,36.1
8288,1978,12,14,28.5
8289,1978,12,15,27.5
8290,1978,12,16,29.9
8291,1978,12,17,31.5
8292,1978,12,18,32.3
8293,1978,12,19,31.3
8294,1978,12,20,30.7
8295,1978,12,21,30.5
8296,1978,12,22,30.3
8297,1978,12,23,29.5
8298,1978,12,24,30.4
8299,1978,12,25,30.9
8300,1978,12,26,34.0
8301,1978,12,27,35.8
8302,1978,12,28,37.6
8303,1978,12,29,26.0
8304,1978,12,30,24.9
8305,1978,12,31,28.2
8640,1979,12,1,24.8
8641,1979,12,2,17.3
8642,1979,12,3,18.1
8643,1979,12,4,24.4
8644,1979,12,5,26.5
8645,1979,12,6,32.3
8646,1979,12,7,33.2
8647,1979,12,8,38.1
8648,1979,12,9,27.3
8649,1979,12,10,31.8
8650,1979,12,11,36.0
8651,1979,12,12,31.4
8652,1979,12,13,29.1
8653,1979,12,14,24.1
8654,1979,12,15,23.5
8655,1979,12,16,26.9
8656,1979,12,17,30.1
8657,1979,12,18,29.4
8658,1979,12,19,31.6
8659,1979,12,20,29.3
8660,1979,12,21,26.4
8661,1979,12,22,29.5
8662,1979,12,23,29.4
8663,1979,12,24,32.9
8664,1979,12,25,35.7
8665,1979,12,26,33.0
8666,1979,12,27,34.7
8667,1979,12,28,35.3
8668,1979,12,29,38.3
8669,1979,12,30,24.6
8670,1979,12,31,26.1
9006,1980,12,1,29.6
9007,1980,12,2,32.2
9008,1980,12,3,33.6
9009,1980,12,4,32.9
9010,1980,12,5,31.9
9011,1980,12,6,28.7
9012,1980,12,7,32.9
9013,1980,12,8,34.8
9014,1980,12,9,34.3
9015,1980,12,10,27.7
9016,1980,12,11,29.4
9017,1980,12,12,31.9
9018,1980,12,13,30.4
9019,1980,12,14,33.7
9020,1980,12,15,32.9
9021,1980,12,16,33.9
9022,1980,12,17,29.2
9023,1980,12,18,24.3
9024,1980,12,19,20.3
9025,1980,12,20,24.8
9026,1980,12,21,27.8
9027,1980,12,22,30.7
9028,1980,12,23,33.2
9029,1980,12,24,32.9
9030,1980,12,25,25.9
9031,1980,12,26,33.9
9032,1980,12,27,30.6
9033,1980,12,28,34.6
9034,1980,12,29,28.4
9035,1980,12,30,34.8
9036,1980,12,31,29.2
9371,1981,12,1,25.1
9372,1981,12,2,18.8
9373,1981,12,3,27.3
9374,1981,12,4,31.3
9375,1981,12,5,27.1
9376,1981,12,6,29.8
9377,1981,12,7,28.6
9378,1981,12,8,31.3
9379,1981,12,9,31.9
9380,1981,12,10,26.5
9381,1981,12,11,31.1
9382,1981,12,12,34.1
9383,1981,12,13,27.9
9384,1981,12,14,24.8
9385,1981,12,15,29.5
9386,1981,12,16,34.1
9387,1981,12,17,28.9
9388,1981,12,18,30.1
9389,1981,12,19,35.4
9390,1981,12,20,29.7
9391,1981,12,21,22.1
9392,1981,12,22,28.1
9393,1981,12,23,28.7
9394,1981,12,24,30.3
9395,1981,12,25,32.2
9396,1981,12,26,34.1
9397,1981,12,27,35.6
9398,1981,12,28,31.5
9399,1981,12,29,36.6
9400,1981,12,30,36.6
9401,1981,12,31,25.9
9736,1982,12,1,22.7
9737,1982,12,2,25.5
9738,1982,12,3,27.0
9739,1982,12,4,23.7
9740,1982,12,5,28.6
9741,1982,12,6,25.8
9742,1982,12,7,27.4
9743,1982,12,8,34.5
9744,1982,12,9,35.0
9745,1982,12,10,35.8
9746,1982,12,11,32.9
9747,1982,12,12,27.9
9748,1982,12,13,30.1
9749,1982,12,14,29.3
9750,1982,12,15,29.7
9751,1982,12,16,29.5
9752,1982,12,17,26.6
9753,1982,12,18,31.6
9754,1982,12,19,33.8
9755,1982,12,20,32.8
9756,1982,12,21,30.6
9757,1982,12,22,30.6
9758,1982,12,23,33.2
9759,1982,12,24,36.2
9760,1982,12,25,36.6
9761,1982,12,26,36.2
9762,1982,12,27,36.1
9763,1982,12,28,37.8
9764,1982,12,29,37.7
9765,1982,12,30,36.9
9766,1982,12,31,35.3
10101,1983,12,1,22.9
10102,1983,12,2,28.8
10103,1983,12,3,31.9
10104,1983,12,4,29.6
10105,1983,12,5,33.9
10106,1983,12,6,36.7
10107,1983,12,7,35.2
10108,1983,12,8,36.5
10109,1983,12,9,32.1
10110,1983,12,10,32.2
10111,1983,12,11,28.4
10112,1983,12,12,32.9
10113,1983,12,13,35.0
10114,1983,12,14,36.4
10115,1983,12,15,37.4
10116,1983,12,16,29.8
10117,1983,12,17,30.8
10118,1983,12,18,32.2
10119,1983,12,19,33.5
10120,1983,12,20,36.6
10121,1983,12,21,30.5
10122,1983,12,22,33.8
10123,1983,12,23,37.8
10124,1983,12,24,38.2
10125,1983,12,25,38.1
10126,1983,12,26,38.0
10127,1983,12,27,40.8
10128,1983,12,28,41.0
10129,1983,12,29,39.2
10130,1983,12,30,33.2
10131,1983,12,31,23.2
10467,1984,12,1,24.8
10468,1984,12,2,26.3
10469,1984,12,3,31.8
10470,1984,12,4,34.4
10471,1984,12,5,30.0
10472,1984,12,6,24.5
10473,1984,12,7,25.4
10474,1984,12,8,26.2
10475,1984,12,9,28.5
10476,1984,12,10,26.5
10477,1984,12,11,28.8
10478,1984,12,12,24.2
10479,1984,12,13,25.0
10480,1984,12,14,27.6
10481,1984,12,15,29.8
10482,1984,12,16,28.2
10483,1984,12,17,28.2
10484,1984,12,18,22.0
10485,1984,12,19,22.5
10486,1984,12,20,21.0
10487,1984,12,21,27.7
10488,1984,12,22,28.8
10489,1984,12,23,24.4
10490,1984,12,24,18.5
10491,1984,12,25,23.1
10492,1984,12,26,22.2
10493,1984,12,27,25.5
10494,1984,12,28,29.0
10495,1984,12,29,27.5
10496,1984,12,30,30.1
10497,1984,12,31,29.8
10832,1985,12,1,29.3
10833,1985,12,2,27.0
10834,1985,12,3,32.2
10835,1985,12,4,32.3
10836,1985,12,5,32.3
10837,1985,12,6,29.6
10838,1985,12,7,36.0
10839,1985,12,8,26.4
10840,1985,12,9,24.3
10841,1985,12,10,23.1
10842,1985,12,11,25.0
10843,1985,12,12,23.9
10844,1985,12,13,24.5
10845,1985,12,14,28.6
10846,1985,12,15,30.4
10847,1985,12,16,32.0
10848,1985,12,17,35.2
10849,1985,12,18,30.3
10850,1985,12,19,29.2
10851,1985,12,20,28.5
10852,1985,12,21,33.2
10853,1985,12,22,28.0
10854,1985,12,23,29.5
10855,1985,12,24,31.8
10856,1985,12,25,30.0
10857,1985,12,26,31.7
10858,1985,12,27,31.7
10859,1985,12,28,32.1
10860,1985,12,29,31.5
10861,1985,12,30,30.7
10862,1985,12,31,30.0
11197,1986,12,1,27.0
11198,1986,12,2,29.0
11199,1986,12,3,30.8
11200,1986,12,4,33.5
11201,1986,12,5,35.0
11202,1986,12,6,27.1
11203,1986,12,7,30.8
11204,1986,12,8,28.3
11205,1986,12,9,28.2
11206,1986,12,10,29.9
11207,1986,12,11,28.5
11208,1986,12,12,25.3
11209,1986,12,13,28.8
11210,1986,12,14,31.5
11211,1986,12,15,29.4
11212,1986,12,16,29.0
11213,1986,12,17,24.1
11214,1986,12,18,25.8
11215,1986,12,19,28.0
11216,1986,12,20,33.8
11217,1986,12,21,34.6
11218,1986,12,22,37.9
11219,1986,12,23,36.7
11220,1986,12,24,35.4
11221,1986,12,25,34.7
11222,1986,12,26,33.2
11223,1986,12,27,28.7
11224,1986,12,28,30.7
11225,1986,12,29,33.4
11226,1986,12,30,31.8
11227,1986,12,31,25.8
11562,1987,12,1,41.0
11563,1987,12,2,30.0
11564,1987,12,3,28.9
11565,1987,12,4,28.0
11566,1987,12,5,32.5
11567,1987,12,6,25.1
